 Category , Part Number, Description, Location, Quantity, Counts, New Count, Difference, Oversold, Supplier, Brand,
106,888WNLEX3-RNET62,ROVI X3 6.2 mph Quick Speed Moto...,,0,0,,0,,Motion Concepts Canada,,
106,888WNLEX3-VR2,ROVI x3 5.0 MPH Powerchair (BASE),,0,0,,0,,Motion Concepts Canada,,
106,ATM3,AllTrack M3 Power Wheelchair,,0,0,,0,,Amylior Inc,,
106,ATM3-3HD,All Track M3 Power Wheelchair HD...,,0,0,,0,,Amylior Inc,,
106,Axis UL-8WSLA,Shoprider Axis Ultra Light Power...,,0,0,,0,,Eclipse Medical Inc,,
106,FJPTBK1700,Pride Folding Jazzy Passport Pow...,,0,0,,0,,Pride Mobility Products,,
106,GoChair,Pride GO-CHAIR Compact Transport...,,0,0,,0,,Pride Mobility Products,,
106,Jazzy Carbon,Jazzy Carbon Power Chair – inc...,,0,0,,0,,Pride Mobility Products,,
106,P424L,"Shoprider Navigator P424L 14"" Mi...",,0,0,,0,,Eclipse Medical Inc,,
106,P424M,"Shoprider Navigator P424M 10"" Mi...",,0,0,,0,,Eclipse Medical Inc,,
106,Q4,Quantum Q4 Powerchair - Base. 30...,,0,0,,0,,Pride Mobility Products,,
106,Q6 EDGE 2.0 3MP-SS,Quantum Q6 Edge 2.0 Multiple act...,,0,0,,0,,Pride Mobility Products,,
106,Q6 EDGE 3 STRETTO,Quantum Q6 Edge 3 Stretto 3S-SS,,0,0,,0,,Pride Mobility Products,,
106,Q6EdgeHD,Q6 Edge HD Power Chair,,0,0,,0,,Pride Mobility Products,,
106,Quantum Q6 Edge,Quantum Q6 Edge Power Wheelchair,,0,0,,0,,Pride Mobility Products,,
106,Spyder P326A,"Eclipse Spyder 10"" Mid-Wheel Pow...",,0,0,,0,,Eclipse Medical Inc,,
106,TDXSP(Base),TDX SP Base w. MK6i Controls (Base),,0,0,,0,,Motion Concepts Canada,,
106,TDXSP2,TDX-SP2 Base,,0,0,,0,,Motion Concepts Canada,,
106,TDXSP2HD,TDX-SP2 HD Base,,0,0,,0,,Motion Concepts Canada,,
106,VBSND,Velox Base (includes Transit Tie...,,0,0,,0,,Velox Manufacturing Inc.,,
106,WM0001081,Smart Drive System - fits rigid...,,0,0,,0,,Permobil SmartDrive,,
106,ZMAXSD1,Permobil Smart Drive MX2+,,0,0,,0,,TiLite,,
107,101 ORIONII(Base),Orion II Tilt in Space Wheelchai...,,0,0,,0,,Malton Best Inc.,,
107,1201000,Stellar 45 Degree Manual Tilt Wh...,,0,0,,0,,PDG Product Design Group Inc.,,
107,1501000,Fuze T50 50° Manual Tilt Wheelchai,,0,0,,0,,PDG Product Design Group Inc.,,
107,1501100,Fuze T50 Express 50Deg Manual Ti...,,0,0,,0,,PDG Product Design Group Inc.,,
107,1601000,Fuze T20 20° Manual Tilt Wheelc...,,0,0,,0,,PDG Product Design Group Inc.,,
107,183WM56,Quickie IRIS Lightweight Manual...,,0,0,,0,,Sunrise Medical,,
107,1901000,Stellar GL 45° Manual Tilt Whee...,,0,0,,0,,PDG Product Design Group Inc.,,
107,2101000,Stellar 45° Manual Tilt Chair,,0,0,,0,,PDG Product Design Group Inc.,,
107,2501000,Lightweight Stellar GLT Aluminum...,,0,0,,0,,PDG Product Design Group Inc.,,
107,2601000,Fuze T50 Narrow - overall chair...,,0,0,,0,,PDG Product Design Group Inc.,,
107,E1161,CR45 Tilt Wheelchair - Transit I...,,0,0,,0,,Ki Mobility,,
107,Liberty FT,Liberty Folding Tilt Chair  Base...,,0,0,,0,,Ki Mobility,,
107,NX1,NEOX 4 Wheel Tilt-in-Space Wheel...,,0,0,,0,,Physipro,,
107,NX2,NEOX 6 Wheel Tilt-in-Space Wheel...,,0,0,,0,,Physipro,,
107,V4,Broda Synthesis Positioning Whee...,,0,0,,0,,"Broda Enterprises, Inc.",,
107,WM0001160,Focus CR Tilt Wheelchair (300 lb...,,0,0,,0,,Ki Mobility,,
108,002WM109,Quickie 2 - Transit Included,,0,0,,0,,Sunrise Medical,,
108,002WM32,QUICKIE 2 Wheelchair (Base),,0,0,,0,,Sunrise Medical,,
108,1101000,Eclipse 600 Manual Bariatric Whe...,,0,0,,0,,PDG Product Design Group Inc.,,
108,115WM21,Quickie M6 HD Manual Wheelchair,,0,0,,0,,Sunrise Medical,,
108,196WM78,Quickie QXI Base,,0,0,,0,,Sunrise Medical,,
108,196WM94,Quickie QX Base,,0,0,,0,,Sunrise Medical,,
108,700-830,Airgo Comfort-Plus XC Premium Li...,,2,0,,-2,,Drive Medical,,
108,700-841,Airgo Comfort-Plus Lightweight T...,,0,0,,0,,Drive Medical,,
108,700-846,Airgo Comfort Plus Lightweight T...,,0,0,,0,,Drive Medical,,
108,700-932,"Airgo 23"" Fusion Side-Folding Ro...",,0,0,,0,,Drive Medical,,
108,700-935,"Airgo 20"" Fusion Side-Folding Ro...",,4,0,,-4,,Drive Medical,,
108,AZFS1,TiLite Zero Z wheelchair (base),,0,0,,0,,TiLite,,
108,CAT4E,Catalyst E Wheelchair,,0,0,,0,,Ki Mobility,,
108,CAT5Vx,Catalyst 5 Manual Wheelchair (BA...,,0,0,,0,,Ki Mobility,,
108,MVQSWC01,Ultralight Move Wheelchair Alumi...,,0,0,,0,,Motion Composites,,
108,TR18,"Drive Poly-Fly Wheelchair, 18""",,0,0,,0,,Drive Medical,,
108,WC02,HELIO A7 Aluminum Ultralight Man...,,0,0,,0,,Motion Composites,,
108,WC05,HELIO C2 Ultralight Manual Wheel...,,0,0,,0,,Motion Composites,,
108,WC11,Ultralight APEX Rigid Wheelchair...,,0,0,,0,,Motion Composites,,
108,WC19,Helio A6 Aerospace Aluminum Whee...,,0,0,,0,,Motion Composites,,
108,WC20,Ultralight Veloce Wheelchair (26...,,0,0,,0,,Motion Composites,,
108,Z2FS1,ZR Titanium Frame Ultimate TiFIT,,0,0,,0,,TiLite,,
108,Z2FS2,TiLite ZRA Titanium Frame,,0,0,,0,,TiLite,,
109,700-938,"Airgo 18"" Fusion Side-Folding Ro...",,0,0,,0,,Drive Medical,,
109,796,Knee Cycle Deluxe,,0,0,,0,,Drive Medical,,
109,HC-7100270,Gemino 30 M Parkinson - Sliver Grey,,0,0,,0,,Sunrise Medical,,
110,1106-1616-OHC,SPEX Flex Cushion 16x16 High Con...,,0,0,,0,,Sunrise Medical,,
110,1R1010C,"Roho Cushion, High Profile 18""x1...",,3,0,,-3,,Permobil Canada,,
110,1R1010HD,ROHO 18x18x4 High Profile Cushio...,,0,0,,0,,Permobil Canada,,
110,1R1010LPC,"Roho Cushion, LOW Profile 18""x18...",,0,0,,0,,Permobil Canada,,
110,1R1011C,"Roho Cushion, High Profile 18"" x...",,4,0,,-4,,Permobil Canada,,
110,1R1011LPC,"Roho Low Profile Cushion - 18"" x...",,0,0,,0,,Permobil Canada,,
110,1R109C,"Roho Cushion, High Profile 18""x1...",,0,0,,0,,Permobil Canada,,
110,1R109HD,ROHO 18x16x4 High Profile Cushio...,,0,0,,0,,Permobil Canada,,
110,1R109LPC,"Roho Cushion, LOW Profile 18""x16...",,0,0,,0,,Permobil Canada,,
110,1R1110C,"Roho Cushion, High Profile 20""x1...",,2,0,,-2,,Permobil Canada,,
110,1R1110HD,"20"" W x 18"" D Roho High Profile...",,0,0,,0,,Permobil Canada,,
110,1R1110LPC,"Roho Cushion, LOW Profile 20""x18...",,0,0,,0,,Permobil Canada,,
110,1R1111C,"Roho Cushion, High Profile 20"" x...",,3,0,,-3,,Permobil Canada,,
110,1R1111LPC,"Roho Cushion, LOW Profile 20""x20...",,0,0,,0,,Permobil Canada,,
110,1R119C,"ROHO Hi Profile 20""x16""x4"" Cushion",,0,0,,0,,Permobil Canada,,
110,1R119LPC,"Roho Cushion, LOW Profile 20""x16...",,0,0,,0,,Permobil Canada,,
110,1R1210C,"Roho Cushion, High Profile 22""x1...",,0,0,,0,,Permobil Canada,,
110,1R1211C,"Roho Cushion, High Profile 22"" w...",,0,0,,0,,Permobil Canada,,
110,1R1211HD,Roho High Profile with Incontine...,,0,0,,0,,Permobil Canada,,
110,1R1310C,"Roho Cushion, High Profile 24"" x...",,0,0,,0,,Permobil Canada,,
110,1R1311C,"ROHO Cushion, High Profile 24"" x...",,0,0,,0,,Permobil Canada,,
110,1R1411C,Roho 26x20 High Profile with cover,,0,0,,0,,Permobil Canada,,
110,1R89C,"Roho Cushion, High Profile 15""x1...",,0,0,,0,,Permobil Canada,,
110,1R910C,"Roho Cushion, High Profile 16""x1...",,1,0,,-1,,Permobil Canada,,
110,1R910HD,"16"" x 18""- Hi Profile Cushion w/...",,0,0,,0,,Permobil Canada,,
110,1R910LPC,"Roho Cushion, LOW Profile 16""x18...",,0,0,,0,,Permobil Canada,,
110,1R911C,"Roho Cushion, High Profile 16""x2...",,0,0,,0,,Permobil Canada,,
110,1R99C,"Roho Cushion, High Profile 16""x1...",,3,0,,-3,,Permobil Canada,,
110,1R99HD,ROHO 16x16x4 High Profile Cushio...,,0,0,,0,,Permobil Canada,,
110,1R99LPC,"ROHO Cushion, Low Profile 16""x16...",,0,0,,0,,Permobil Canada,,
110,1RHE1616C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHE1618C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHE1816C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHE1818C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHE1820C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHE2018C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHE2020C-SR,"Roho Hybrid Elite Cushion, Singl...",,0,0,,0,,Permobil Canada,,
110,1RHEHD1616C-SR,Roho Hybrid Elite Single Valve -...,,0,0,,0,,Permobil Canada,,
110,1RHEHD1618C-SR,Roho Hybrid Elite Single Valve -...,,0,0,,0,,Permobil Canada,,
110,1RHEHD1818C-SR,Roho Hybrid Elite Single Valve -...,,0,0,,0,,Permobil Canada,,
110,1RHEHD2018C-SR,Roho Hybrid Elite Single Valve -...,,0,0,,0,,Permobil Canada,,
110,2RHE1618C,"Roho Hybrid Elite Cushion, Dual...",,0,0,,0,,Permobil Canada,,
110,AB-BS  W  L,Acta-Back Positioning Backrest (...,,0,0,,0,,Permobil Canada,,
110,ABD5-BS16W16L,"Acta-Back 16""Wx16""L with 5""Deep...",,0,0,,0,,Permobil Canada,,
110,AE-BS,Acta-Embrace Backrest (Specify S...,,2,0,,-2,,Permobil Canada,,
110,AG3-1616AL-1,ROHO Agility Mid Contour Back Wi...,,0,0,,0,,Permobil Canada,,
110,AG3-1618AL-1,ROHO Agility Mid Contour Back Wi...,,0,0,,0,,Permobil Canada,,
110,AG6-1818AL-1,AGILITY Max Contour Back with Ai...,,0,0,,0,,Permobil Canada,,
110,AG6-2018AL-1,AGILITY Max Contour Back with Ai...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV4040,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV4045,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV4540,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV4545,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV4550,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV5045,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOAD10RV5050,Vicair Adjuster O2 10 Pressure R...,,0,0,,0,,Permobil Canada,,
110,AOCT94040,Active 02 9 Cushion (3.5’’) 16x,,0,0,,0,,Dynamic Health Care Solutions,,
110,AOCT94045,Active 02 9 Cushion (3.5’’) 16x,,0,0,,0,,Dynamic Health Care Solutions,,
110,AOCT94050,Active 02 9 Cushion (3.5’’) 16x,,0,0,,0,,Dynamic Health Care Solutions,,
110,AOCT94545,Active 02 9 Cushion (3.5’’) 18x,,0,0,,0,,Permobil Canada,,
110,AOVR10RV4045,"Vicair Vector O2 10 4"" Cushion 1...",,0,0,,0,,Permobil Canada,,
110,AOVR10RV4545,"Vicair Vector O2 10 4"" Cushion 1...",,0,0,,0,,Permobil Canada,,
110,AOVR10RV4550,"Vicair Vector O2 10 4"" Cushion 1...",,0,0,,0,,Permobil Canada,,
110,AOVR10RV5045,"Vicair Vector O2 10 4"" Cushion 2...",,0,0,,0,,Permobil Canada,,
110,BB1618,"Prism Basic Back 16""wide x 18""high",,0,0,,0,,Malton Best Inc.,,
110,BB1620,"Prism Basic Back 16""wide x 20""high",,0,0,,0,,Malton Best Inc.,,
110,BB1720,"Prism Basic Back 17""wide x 20""high",,0,0,,0,,Malton Best Inc.,,
110,BB1818,"Prism Basic Back 18""wide x 18""high",,0,0,,0,,Malton Best Inc.,,
110,BB1820,"Prism Basic Back 18""wide x 20""high",,0,0,,0,,Malton Best Inc.,,
110,BB2018,"Prism Basic Back 20""wide x 18""high",,0,0,,0,,Malton Best Inc.,,
110,BB2020,"Prism Basic Back 20""wide x 20""high",,0,0,,0,,Malton Best Inc.,,
110,C-ROHO,Custom Roho - Low Profile 24 x 24,,0,0,,0,,Permobil Canada,,
110,E2D1616-H,E2 Deep Back Standard 16 x 16 wi...,,4,0,,-4,,Motion Concepts Canada,,
110,E2D1618-H,E2 Deep Back Standard 16 x 18 wi...,,1,0,,-1,,Motion Concepts Canada,,
110,E2D1620-H,E2 Deep Back Standard 16 x 20 wi...,,0,0,,0,,Motion Concepts Canada,,
110,E2D1816-H,E2 Deep Back Standard 18 x 16 wi...,,7,0,,-7,,Motion Concepts Canada,,
110,E2D1818-H,E2 Deep Back Standard 18 x 18 wi...,,2,0,,-2,,Motion Concepts Canada,,
110,E2D1820-H,E2 Deep Back Standard 18 x 20 wi...,,0,0,,0,,Motion Concepts Canada,,
110,E2D2018-H,E2 Deep Back Standard 20 x 18 wi...,,1,0,,-1,,Motion Concepts Canada,,
110,E2D2020-H,E2 Deep Back Standard 20 x 20 wi...,,0,0,,0,,Motion Concepts Canada,,
110,E2S1616,"E2 16""x16"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S1616-H,"E2 16""x16"" Backrest with Headres...",,3,0,,-3,,Motion Concepts Canada,,
110,E2S1618,"E2 16""x18"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S1618-H,"E2 16""x18"" Backrest with Headres...",,0,0,,0,,Motion Concepts Canada,,
110,E2S1620,"E2 16""x20"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S1620-H,"E2 16""x20"" Backrest with Headres...",,0,0,,0,,Motion Concepts Canada,,
110,E2S1816,"E2 18""x16"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S1816-H,"E2 18""x16"" Backrest with Headres...",,11,0,,-11,,Motion Concepts Canada,,
110,E2S1818,"E2 18""x18"" Backrest",,1,0,,-1,,Motion Concepts Canada,,
110,E2S1818-H,"E2 18""x18"" Backrest with Headres...",,1,0,,-1,,Motion Concepts Canada,,
110,E2S1820,"E2 18""x20"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S1820-H,"E2 18""x20"" Backrest with Headres...",,0,0,,0,,Motion Concepts Canada,,
110,E2S2016,"E2 20""x16"" Backrest",,1,0,,-1,,Motion Concepts Canada,,
110,E2S2016-H,"E2 20""x16"" Backrest with Headres...",,4,0,,-4,,Motion Concepts Canada,,
110,E2S2018,"E2 20""x18"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S2018-H,"E2 20""x18"" Backrest with Headres...",,1,0,,-1,,Motion Concepts Canada,,
110,E2S2020,"E2 20""x20"" Backrest",,0,0,,0,,Motion Concepts Canada,,
110,E2S2020-H,"E2 20""x20"" Backrest with Headres...",,1,0,,-1,,Motion Concepts Canada,,
110,ESSC1515-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC1517-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC1715-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC1717-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC1719-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC1917 -11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC1919-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,ESSC2121-11,Star Standard Air Guard Cushion...,,0,0,,0,,Ki Mobility,,
110,FCC-1816,"Ride Forward Cushion, 18"" w x 16"" d",,0,0,,0,,Ride Designs,,
110,FPB1617T,"Focus Point Backrest  16"" W Tall",,0,0,,0,,Sunrise Medical,,
110,GG1616,Geo-Matrix GOLD Gel Cell Cushion...,,0,0,,0,,Blake Medical Distribution,,
110,GG1618,Geo-Matrix GOLD Gel Cell Cushion...,,0,0,,0,,Blake Medical Distribution,,
110,GG1818,Geo-Matrix GOLD Gel Cell Cushion...,,0,0,,0,,Blake Medical Distribution,,
110,GG1820,Geo-Matrix GOLD Gel Cell Cushion...,,0,0,,0,,Blake Medical Distribution,,
110,GG2018,Geo-Matrix GOLD Gel Cell Cushion...,,0,0,,0,,Blake Medical Distribution,,
110,GH1616,Geo-Matrix Hybrid Pressure Relie...,,0,0,,0,,Blake Medical Distribution,,
110,GH1618,Geo-Matrix Hybrid Pressure Relie...,,0,0,,0,,Blake Medical Distribution,,
