Inventory Part,Serial #,(Unit No),Unit Description
D-MISC,D-02211,,"Symmetric designs additional hardware
S/N D-02211"
D-MISC,D-02212,,"Symmetric design 1'' bal mount adapter
S/N D-02212"
D-WC-TILT,2016-10140017,D-00107,"D-00107
Ottobock Discovery Tmax
S/N 2016-10140017"
D-WC-TILT,nxt-46707,D-00111,"D-00111
NXT Generation 20X22
S/N nxt-46707"
D-WC-MANUAL,m1011110250020,D-00123,"D-00123
Pride Litestream XF 16X16
S/N m1011110250020"
D-PED,D-00151,D-00151,"D-00151
Adaptive Star Size 2
S/N D-00151"
D-PED,D-00152,D-00152,"D-00152
Adaptive Star
S/N D-00152"
D-PED,D-02058,D-02058,"D-02058
Firefly Splashy Size 1
S/N D-02058"
R-SEA-MISC,D-02100,D-02100,"D-02100
Matrix VI 12x12
S/N D-02100"
R-PED-MISC,HME-05238,HME-05238,"HME-05238
Nighthawk Cumfu x14
S/N HME-05238"
D-PED,D-02102,D-02102,"D-02102
Stealth SPP x12
S/N D-02102"
R-SEA-MISC,D-02105,D-02105,"D-02105
Matrix 12x12
S/N D-02105"
D-PED,D-02106,D-02106,"D-02106
NXT Biofit 12x12
S/N D-02106"
D-PED,D-02107,D-02107,"D-02107
Jay Zip x10
S/N D-02107"
D-PED,D-02108,D-02108,"D-02108
Prism supreme 12x12
S/N D-02108"
D-PED,D-02111,D-02111,"D-02111
Axiom 14x14
S/N D-02111"
D-PED,D-02113,D-02113,"D-02113
Matrx, 12x12
S/N D-02113"
R-PED-MISC,HME-06460,HME-06460,"HME-06460
Matrx, 14x14
S/N HME-06460"
D-PED,D-02117,D-02117,"D-02117
Synergy 15x15
S/N D-02117"
D-PED,D-02118,D-02118,"D-02118
foam x10
S/N D-02118"
D-PED,D-02120,D-02120,"D-02120
Nighthawk 12x12
S/N D-02120"
D-PED,D-02121,D-02121,"D-02121
foam 12x12
S/N D-02121"
D-PED,D-02123,D-02123,"D-02123
Resolve 14x14
S/N D-02123"
D-PED,D-02124,D-02124,"D-02124
foam 14x12
S/N D-02124"
D-PED,D-02126,D-02126,"D-02126
Nimbo small
S/N D-02126"
R-PED-MISC,2100259,D-02129,"D-02129
Tricycle Purple
S/N 2100259"
D-PED,R85020220310AA,D-03616,"D-03616
Permobil R851 Medium Activity Chair
S/N R85020220310AA"
HALSA-STD,202011010028,,"Permobil Halsa Std - Natural
S/N 202011010028"
D-PED,11943370,D-02133,"D-02133
Tilite AERO Z2
S/N 11943370"
R-SEA-MISC,HME-01067,HME-01067,"HME-01067
Invacare Matrx Kidabra 14x14
S/N HME-01067"
R-WC-PED-T,ZRS-004091,BC8873,"BC8873
Zippie IRIS
S/N ZRS-004091"
R-SEA-MISC,DUM-112,DUM-112,"DUM-112
Unknown Unknown
S/N DUM-112"
D-PED,D-02180,D-02180,"D-02180
HME PEDS Coolover Bracket Pads Small
S/N D-02180"
D-PED,D-02179,D-02179,"D-02179
HME PEDS Positioning Brackets Large
S/N D-02179"
D-PED,D-02177,D-02177,"D-02177
HME PEDS Positioning Brackets Medium
S/N D-02177"
R-LIFT-MOTOR,300138442,BC9470,"BC9470
Arjo Voyager Motor
S/N 300138442"
R-ACCESS-ELAN,Storage Fee-1,Storage Fee-1,"Storage Fee-1
Storage Fee
S/N Storage Fee-1"
R-BED-BEDP-ETUDE,20D09003449,HME-03070,"HME-03070
Invacare Etude
S/N 20D09003449"
R-BTH-PEDC,DUM-75,DUM-75,"DUM-75
Unknown Unknown
S/N DUM-75"
R-BTH-PEDC,DUM-77,DUM-77,"DUM-77
Unknown Unknown
S/N DUM-77"
D-PED,R84020200903AE,D-00261,"D-00261
Rifton Activity Chair 840
S/N R84020200903AE"
D-PED,TRI202103031,D-02198,"D-02198
Trivel T250 Tricycle
S/N TRI202103031"
R-BED-BEDP-ETUDE,20F09000164,HME-03083,"HME-03083
Invacare Etude
S/N 20F09000164"
C-R852,R85020141223AN,,"Rifton Activity Chair
S/N R85020141223AN"
D-SEA-CUSH,D-02252,,"Blake Commode pad 18x18
S/N D-02252"
D-SEA-CUSH,010497,D-02257,"D-02257
Blake Hiybrid 18x18
S/N 010497"
D-PED,00896688001138,D-02135,"D-02135
Ki Mobility Special Tomato E10
S/N 00896688001138"
D-PED,99009904,D-02137,"D-02137
R82 Potty Frame
S/N 99009904"
R-ACCESS-ELAN,K2C01001102100528,HME-03881,"HME-03881
Savaria K2 Savaria LH Indoor
S/N K2C01001102100528"
R-WC-PED-R-JYMNI1414,21DM005882,HME-03132,"HME-03132
Invacare Jymni WC 14x14
S/N 21DM005882"
D-SEA-CUSH,D-02138,D-02138,"D-02138
Matrx PS
S/N D-02138"
D-SEA-CUSH,D-02144,D-02144,"D-02144
Matrx PS
S/N D-02144"
D-SEA-CUSH,D-02146,D-02146,"D-02146
Matrx PS
S/N D-02146"
D-SEA-CUSH,D-02147,D-02147,"D-02147
Matrx PS
S/N D-02147"
R-SEA-MISC,HME-04807,HME-04807,"HME-04807
Motion Concepts Matrix PS cushion, 16x16
S/N HME-04807"
D-SEA-CUSH,D-02141,D-02141,"D-02141
Essential Medical Products ESP 12x14
S/N D-02141"
D-SEA-CUSH,D-02142,D-02142,"D-02142
Matrx PS 10x10
S/N D-02142"
D-SEA-CUSH,D-02148,D-02148,"D-02148
Matrx PS 10x10
S/N D-02148"
D-SEA-CUSH,D-02154,D-02154,"D-02154
Matrx PS 10x10
S/N D-02154"
D-SEA-CUSH,D-02155,D-02155,"D-02155
Matrx PS 10x10
S/N D-02155"
R-SEA-MISC,D-02143,D-02143,"D-02143
Kidabra 12x12
S/N D-02143"
D-SEA-CUSH,D-02151,D-02151,"D-02151
Matrx PS 12x12
S/N D-02151"
D-SEA-CUSH,D-02145,D-02145,"D-02145
Jay Union 13x16
S/N D-02145"
D-SEA-CUSH,D-02156,D-02156,"D-02156
Matrx 10x10
S/N D-02156"
D-SEA-CUSH,D-02153,D-02153,"D-02153
Matrx PS 12x12
S/N D-02153"
D-WC-MANUAL,QX-023032,D-01152,"D-01152
Quickie QX 16x16
S/N QX-023032"
D-PED,510201903017,D-02157,"D-02157
Klip 4 wheel walker XS
S/N 510201903017"
D-PED,CLK006879,HME-02159,"HME-02159
Ki Mobility Little Wave CLIK
S/N CLK006879"
D-PED,FLP006537,HME-02160,"HME-02160
Ki Mobility Flip
S/N FLP006537"
D-PED,D-02160,D-02160,"D-02160
Solu-Med SM1070 - Two Cyclinders, attachable
S/N D-02160"
D-MISC,D-03326,,"Motion Ultra Caster Wheels 6''
S/N D-03326"
D-MISC,D-03327,,"Motion Ultra Caster Wheels 6''
S/N D-03327"
R-LIFT-ETAC,414000,HME-03198,"HME-03198
R82 ETAC TURNER PRO
S/N 414000"
R-WC-BASIC-MOVE1818,39870,BC1123,"BC1123
Motion Composites Move 18x18
S/N 39870"
R-PED-MISC,130019,D-00554,"D-00554
Can-Dan Meywalk 2000 Large
S/N 130019"
D-PED,EZ18T-02217,d-04008,"d-04008
Convaid EZ Rider 18
S/N EZ18T-02217"
D-PED,D-02163,D-02163,"D-02163
HME DEMO Leg Wrap
S/N D-02163"
AQUATECR-W,ORC2107471,,"Aquatec Bath Lift
S/N ORC2107471"
C-T350,TRI00201901802,,"Trivel T350
S/N TRI00201901802"
D-SEA-CUSH,A3980373,D-01182,"D-01182
Permobil Roho Hybrid Elite,20x18
S/N A3980373"
R-SEA-PREM-JF1616,HME-02623,HME-02623,"HME-02623
Sunrise Jay Fusion 16x16
S/N HME-02623"
D-SEA-CUSH,D-01208,D-01208,"D-01208
Invacare Matrx Libra,cushion,18x16
S/N D-01208"
D-SEA-CUSH,D-03046,D-03046,"D-03046
Blake Medical Zentury cushion,20x18
S/N D-03046"
C-67010100,CON-115,CON-115,"CON-115
Special Tomato Out & About Seat
S/N CON-115"
D-PED,338832,,"Dynamic Health Care Solutions HME Demo - Pediatric Equipment
S/N 338832"
D-PED,338825,,"Dynamic Healthcare Solutions HME Demo - Pediatric Equipment
S/N 338825"
R-MAT-LAL-MISC,C890033839,,"Blake Medical Blake Low Air Loss Mattress - Salute RDX
S/N C890033839"
RPL450-2,303060,,"Invacare Reliant 450 Power Portable Patient Floor Lift - Lo
S/N 303060"
9800009-02,30043109,,"Arjo Voyager Portable
S/N 30043109"
R-LIFT-PFL-RELIANT450,13HM008359,BC10770,"BC10770
Invacare Reliant 450
S/N 13HM008359"
D-PED,338831,,"Dynamic Health Care HME PEDS - DEMO
S/N 338831"
D-PED,338830,,"Dyanmic Health Care HME - Peds Equipment
S/N 338830"
D-PED,338826,,"Dynamic Health Care HME - Peds Equipment
S/N 338826"
D-PED,338824,,"Dynamic Health Care HME PEDS - DEMO
S/N 338824"
D-PED,338828,,"Dynamic Health Care HME PEDS - DEMO
S/N 338828"
R-PED-MISC,Z23020210615AM,D-02195,"D-02195
Rifton Wave Large
S/N Z23020210615AM"
R-LIFT-MISC,300453532,HME-04154,"HME-04154
Arjo Maxisky 440 Portable
S/N 300453532"
R-WC-PED-R,1115383,D-02168,"D-02168
Invacare 9000 Jymni Light Wheelchair 16x14 silver
S/N 1115383"
R-WC-PED-R-JYMNI1414,21DM009954,HME-03827,"HME-03827
Invacare 9000 Jymni Light Wheelchair 14x14 blue
S/N 21DM009954"
D-PED,D-03037,D-03037,"D-03037
R82 High Low Base w/ Seat
S/N D-03037"
R-BTH-PEDC,Z13020170711AG,HME-04015,"HME-04015
Permobil (Advanced) Rifton HTS Large
S/N Z13020170711AG"
D-MAT-LAL,D-02208,,"Moxi Select air max mattress
S/N D-02208"
D-MISC,BC1207,,S/N BC1207
D-MISC,BC10624,,S/N BC10624
D-PED,HME-00458,,S/N HME-00458
D-PED,D-02173,D-02173,"D-02173
AXIOM CS Cushion
S/N D-02173"
D-PED,D-02174,D-02174,"D-02174
AXIOM CS Cushion 10x10
S/N D-02174"
D-PED,D-02175,D-02175,"D-02175
HME PEDS Pull Cord Velcro Sheet
S/N D-02175"
D-PED,D-02176,D-02176,"D-02176
HME PEDS Positioning Brackets Small
S/N D-02176"
D-PED,D-02181,D-02181,"D-02181
HME PEDS Coolover Bracket Pads Medium
S/N D-02181"
D-PED,D-02182,D-02182,"D-02182
HME PEDS Airmantle Coolover Top 190x100cm
S/N D-02182"
D-PED,D-02183,D-02183,"D-02183
HME PEDS Coolover Fitted Sheet 200x105cm
S/N D-02183"
D-PED,D-02184,D-02184,"D-02184
HME PEDS Lowzone Crumb Cushions 30x30cm
S/N D-02184"
D-PED,D-02185,D-02185,"D-02185
HME PEDS Lowzone Crumb Cushions 30x45cm
S/N D-02185"
D-PED,D-02186,D-02186,"D-02186
HME PEDS Lowzone Crumb Cushions 45x75cm
S/N D-02186"
D-PED,D-02187,D-02187,"D-02187
HME PEDS Lowzone Crumb Cushions 35x80cm
S/N D-02187"
D-PED,D-02188,D-02188,"D-02188
HME PEDS Lowzone Crumb Cushions 25x37cm
S/N D-02188"
D-PED,D-02189,D-02189,"D-02189
HME PEDS Lowzone Crumb Cushions 8x12cm
S/N D-02189"
D-PED,D-02190,D-02190,"D-02190
HME PEDS Lowzone Crumb Cushions 8x12cm
S/N D-02190"
D-PED,D-02191,D-02191,"D-02191
HME PEDS Lowzone Crumb Cushions 13x40cm
S/N D-02191"
D-PED,D-02192,D-02192,"D-02192
HME PEDS Lowzone Crumb Cushions 13x40cm
S/N D-02192"
D-PED,B26253,,"Freewheel Front wheel attatchment (1 wheel)
S/N B26253"
D-PED,D-02194,D-02194,"D-02194
Ottoback Adaptor Size 1
S/N D-02194"
R-WC-MISC,004210,HME-03897,"HME-03897
Future Stellato 18x20
S/N 004210"
HOY-ADVANCE-E,2105L1685,,"JOERNS Hoyer Advance Lifter Electric
S/N 2105L1685"
R-BED-BEDP-HALSA,ESU17127,HME-04983,"HME-04983
Halsa Bed
S/N ESU17127"
ETUDE-HC,22F09001655,,"INVACARE Etude HC Bed
S/N 22F09001655"
MS014-01-02,300380894,,S/N 300380894
R-LIFT-PFL-RELIANT450,17BSZ102471,HME-05525,"HME-05525
S/N 17BSZ102471"
R-SEA-MISC,D-02150.,,S/N D-02150.
R-PED-MISC,D5211-1212,HME-03682,"HME-03682
Physiopro Axis adjustable tension backrest 12x12
S/N D5211-1212"
R-PED-MISC,D5211-1414,HME-03683,"HME-03683
Physiopro Axis adjustable tension backrest 14x14
S/N D5211-1414"
R-SEA-MISC,BC9592,BC9592,"BC9592
Motion Concepts Matrx Libra 18x18
S/N BC9592"
R-PED-MISC,D5211-1818,HME-03685,"HME-03685
Physiopro Axis adjustable tension backrest 18x18
S/N D5211-1818"
D-WC-TILT,D-02199,D-02199,"D-02199
Fuze T50
S/N D-02199"
D-WC-TILT,56387,D-02200,"D-02200
Fuze T20
S/N 56387"
D-SEA-CUSH,D-02201,D-02201,"D-02201
Solus Equagel 18x20 Basic Cushion
S/N D-02201"
D-WC-TILT,QSR-028398,D-02202,"D-02202
Quickie SR45 16x18
S/N QSR-028398"
D-SEA-CUSH,D-00205,D-00205,"D-00205
HME Basic cushion
S/N D-00205"
D-PED,FLP5248,D-03243,"D-03243
Ki Mobility Flip
S/N FLP5248"
D-PED,D-02205,D-02205,"D-02205
Physiopro Y-Style 4 Point Belt Small
S/N D-02205"
R-PED-MISC,HME-03813,HME-03813,"HME-03813
Medline Folding walker child
S/N HME-03813"
R-PED-MISC,HME-03814,HME-03814,"HME-03814
Medline Folding walker child
S/N HME-03814"
R-PED-MISC,HME-03815,HME-03815,"HME-03815
Medline Folding walker child
S/N HME-03815"
R-PED-MISC,HME-03816,HME-03816,"HME-03816
Medline Folding walker child
S/N HME-03816"
R-PED-MISC,EZ14-2143152,HME-04292,"HME-04292
Convaid EZ Rider size 14
S/N EZ14-2143152"
D-SEA-CUSH,0M0338611,D-02216,"D-02216
Matrix visco foam cushion 18x16
S/N 0M0338611"
D-SEA-CUSH,0M0338603,D-02220,"D-02220
Matrix sample cushion 20x18
S/N 0M0338603"
D-SEA-CUSH,0M0338540,D-02222,"D-02222
Matrix PS heavy duty 24x20
S/N 0M0338540"
D-MISC,2212,,S/N 2212
D-MISC,2213,,S/N 2213
R-PED-MISC,CLK0012289,D-03281,"D-03281
KI MOBILITY Little Wave Clip 12x12
S/N CLK0012289"
D-BTH,48442X49,D-02224,"D-02224
Multichair
S/N 48442X49"
D-WC-PWC,2523002843,D-02225,"D-02225
multi chair base
S/N 2523002843"
R-SEA-MISC,HME-00819,HME-00819,"HME-00819
Motion Concepts Matrx Kidabra 14x14
S/N HME-00819"
R-LIFT-MISC,281385,HME-03835,"HME-03835
Handicare P440 Motor
S/N 281385"
D-SEA-CUSH,D-02228,D-02228,"D-02228
Future Mobility Prism II Supreme plus 18x18
S/N D-02228"
D-MISC,D-03286,,"Pride Mobility Forearm pad medium
S/N D-03286"
D-MISC,D-03287,,"Pride Mobility Forearm pad medium
S/N D-03287"
D-MISC,D-03289,,"Pride Forearm pad small
S/N D-03289"
D-MISC,D-03290,,"Pride Elevating swivel unit
S/N D-03290"
D-MISC,D-03291,,"Pride Elevating swivel unit
S/N D-03291"
D-MISC,D-03302,,"Pride elevating swivel unit
S/N D-03302"
D-MISC,D-03303,,"elevating swivel unit
S/N D-03303"
D-MISC,D-03295,,"Pride Hand pad horn mediumleft
S/N D-03295"
D-MISC,D-03296,,"Pride Hand pad horn mediumleft
S/N D-03296"
D-MISC,D-03297,,"Pride Hand pad horn medium right
S/N D-03297"
D-MISC,D-03896,,"Pride Hand pad palm extensor medium left
S/N D-03896"
D-MISC,D-03298,,"Pride Hand pad palm extensor medium right
S/N D-03298"
D-MISC,D-03299,,"Pride Universal parts kit
S/N D-03299"
D-MISC,D-03301,,"Pride Universal parts kit
S/N D-03301"
D-BTH,D-03304,D-03304,"D-03304
Rehotec Deluxe toilet seat
S/N D-03304"
D-BTH,D-03305,D-03305,"D-03305
Rehotec Deluxe toilet seat
S/N D-03305"
D-BTH,D-03306,D-03306,"D-03306
Rehotec Deluxe toilet seat
S/N D-03306"
D-MISC,D-03328,,"Motion Ultra Caster wheels 4''
S/N D-03328"
D-MISC,D-03329,,"Motion Ultra Caster wheels 4''
S/N D-03329"
D-MISC,D-03330,,"Motion Ultra Caster wheels 5''
S/N D-03330"
D-MISC,D-03331,,"Motion 4'' fork holes
S/N D-03331"
D-MISC,D-03332,,"Motion 4'' fork holes
S/N D-03332"
D-MISC,D-03333,,"Motion 5'' fork holes
S/N D-03333"
D-MISC,D-03334,,"Motion 5'' fork holes
S/N D-03334"
D-MISC,D-03335,,"Motion 7'' Fork holes
S/N D-03335"
D-MISC,D-03336,,"Motion 7'' Fork holes
S/N D-03336"
R-PED-MISC,HME-03813-1,,"Medline Wheel 3'' footpiece
S/N HME-03813-1"
R-PED-MISC,HME-03813-2,,"Wheel 3'' footpiece
S/N HME-03813-2"
R-PED-MISC,HME-03813-3,,"Wheel 3'' footpiece
S/N HME-03813-3"
R-PED-MISC,HME-03813-4,,"Wheel 3'' footpiece
S/N HME-03813-4"
D-PED,D-02233,D-02233,"D-02233
Vista Collar
S/N D-02233"
D-SEA-CUSH,010107,D-02235,"D-02235
Blake GH 20x16
S/N 010107"
D-SEA-CUSH,010260,D-02236,"D-02236
Blake GH 20x18
S/N 010260"
D-SEA-CUSH,010111,D-02239,"D-02239
Blake GHD 20x16
S/N 010111"
D-SEA-CUSH,010247,D-02240,"D-02240
Blake GHD 20x18
S/N 010247"
D-SEA-CUSH,A4300220,D-02274,"D-02274
Permobil Roho Contour Select 15 x17
S/N A4300220"
D-SEA-CUSH,010121,D-02247,"D-02247
Blake GP 20x18
S/N 010121"
