Year,Make,Model,Serial #,(Unit No),Inventory Desc,Department
1900,,"Matrx, 12x12",D-02113,D-02113,HME Demo - Pediatric Equipment,Surrey
1900,,Synergy 15x15,D-02117,D-02117,HME Demo - Pediatric Equipment,Surrey
1900,,foam x10,D-02118,D-02118,HME Demo - Pediatric Equipment,Surrey
1900,,Nighthawk 12x12,D-02120,D-02120,HME Demo - Pediatric Equipment,Surrey
1900,,foam 12x12,D-02121,D-02121,HME Demo - Pediatric Equipment,Surrey
1900,Resolve,14x14,D-02123,D-02123,HME Demo - Pediatric Equipment,Surrey
1900,,foam 14x12,D-02124,D-02124,HME Demo - Pediatric Equipment,Surrey
1900,,Nimbo small,D-02126,D-02126,HME Demo - Pediatric Equipment,Surrey
2022,Permobil,R851 Medium Activity Chair,R85020220310AA,D-03616,HME Demo - Pediatric Equipment,Surrey
2021,Rifton,Activity Chair 840,R84020200903AE,D-00261,HME Demo - Pediatric Equipment,Surrey
1900,Trivel,T250 Tricycle,TRI202103031,D-02198,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Special Tomato E10,896688001138,D-02135,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Clik,CLK006879,HME-02159,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Flip,FLP006537,HME-02160,HME Demo - Pediatric Equipment,Surrey
2021,Convaid,EZ Rider 18,EZ18T-02217,d-04008,HME Demo - Pediatric Equipment,Surrey
2021,R82,High Low Base w/ Seat,D-03037,D-03037,HME Demo - Pediatric Equipment,Surrey
2021,AXIOM,CS Cushion,D-02173,D-02173,HME Demo - Pediatric Equipment,Surrey
2021,AXIOM,CS Cushion 10x10,D-02174,D-02174,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Flip,FLP5248,D-03243,HME Demo - Pediatric Equipment,Surrey
2021,Sunrise,PAL Classroom seat GREEN size 3,LEC234169,D-03252,HME Demo - Pediatric Equipment,Surrey
2021,Firefly,Scoot 4-in-1,LEC/304827,D-02254,HME Demo - Pediatric Equipment,Surrey
2021,Permobil,Arm Support ( Pair ) For Rift,D-02253,,HME Demo - Pediatric Equipment,Surrey
2021,Performance Health,Potty Seat,D-02267,D-02267,HME Demo - Pediatric Equipment,Surrey
2022,Sunrise,Quickie QX,QX-034850,D-03864,HME Demo - Pediatric Equipment,Surrey
2022, Drive,Wrap-Around Toilet HI-Back,2019095VE060022,D-03584,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Resolve Physipro 12x12,D-03645,D-03645,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02085,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02264,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02263,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02265,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02070,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02077,,HME Demo - Pediatric Equipment,Surrey
1900,Rifton,HTS,HME-03009,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02090,,HME Demo - Pediatric Equipment,Surrey
1900,,,BC8779,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-03380,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02083,,HME Demo - Pediatric Equipment,Surrey
1900,Permbol,Rifton Pacer Mini,HME-00404,HME-00404,HME Demo - Pediatric Equipment,Surrey
