Year,Make,Model,Serial #,(Unit No),Inventory Desc,Department
2023,Physipro INC.,"Contour Insert Cushion,18x18",D-03915,D-03915,HME Demo - Cushions,Surrey
2023,Physipro INC.,"Contour Insert Cushion,20x18",D-03916,D-03916,HME Demo - Cushions,Surrey
2023,Sunrise,Spex Cusion,D-03428,D-03428,HME Demo - Cushions,Surrey
2023,LBAC Solutions,OWL CUSHION DEEP CONTOUR - 16x16,GCI03104,D03925,HME Demo - Cushions,Surrey
2023,LBAC Solutions,OWL Cushion Deep Contour - 18x18,GCI03127,D-03926,HME Demo - Cushions,Surrey
2023,Sunrise,Jay  X2 Cushion - 14x14,231520JX21414,D-03946,HME Demo - Cushions,Surrey
2023,SPEX,Spex High Contour Cushion 12x12,1101273,D-03954,HME Demo - Cushions,Surrey
2023,Physipro,Bumble Cushions - 12x12,D-03985,D-03985,HME Demo - Cushions,Surrey
2023,Physipro,Bumble Bee Cusions - 12x14,D-03986,D-03986,HME Demo - Cushions,Surrey
2023,Physipro,Bumble Bee Cushions - 14x14,D-03988,D-03988,HME Demo - Cushions,Surrey
2023,Permobil,Roho HP 20 x 18,A4693486,D-03996,HME Demo - Cushions,Surrey
1900,Moxi,Select air max mattress,D-02208,,HME Demo - Low Air Loss Mattresses,Surrey
2022,Prius,Low Air Loss Mattress,C890010922,D-03590,HME Demo - Low Air Loss Mattresses,Surrey
2021,Ki Mobility,Tsunami 16x18,TS-001973,D-03443,HME Demo - Manual Wheelchairs,Surrey
2021,Broda,"Broda Tilt wheelchair,16x18",68950,D-03448,HME Demo - Manual Wheelchairs,Surrey
2021,Sunrise,Quickie 2 16x18 Manual Wheelchair - White,D-03453,D-03453,HME Demo - Manual Wheelchairs,Surrey
2022,Motion Composites,Move 18 x 18 manual Wheelchair - Sunkissed Orange,142884,?,HME Demo - Manual Wheelchairs,Surrey
2023,Motion Composites,HELIO C2 17x17 Sunkissed Orange,154508,D-03904,HME Demo - Manual Wheelchairs,Surrey
2023,Motion Composites,Apex Carbon Sunkissed Orange - 17x17,155547,D-03908,HME Demo - Manual Wheelchairs,Surrey
1900,,,BC1207,,HME Demo - Miscellaneous,Surrey
1900,,,BC10624,,HME Demo - Miscellaneous,Surrey
2021,Drive,2WW Bariatric Walker,D-02271,D-02271,HME Demo - Miscellaneous,Surrey
2022,Westech,ramp,D-02556,D-02556,HME Demo - Miscellaneous,Surrey
2022,Westech,ramp,D-02557,D-02557,HME Demo - Miscellaneous,Surrey
2022,Westech,ramp,D-02558,D-02558,HME Demo - Miscellaneous,Surrey
2022,Evolution,DX4 Wheel Rollator,ER153815,D-03621,HME Demo - Miscellaneous,Surrey
2022,Motion Concepts,Accessory kit,D-03642,D-03642,HME Demo - Miscellaneous,Surrey
2022,HME DEMO,MISC,D-03843,D-03843,HME Demo - Miscellaneous,Surrey
2023,EVERGREEN,"ELEVATE , Heel Protection",D-03924,D-03924,HME Demo - Miscellaneous,Surrey
2023,Sunrise,JLATSA44L,D-03952,D-03952,HME Demo - Miscellaneous,Surrey
2023,Sunrise,JLATSA44R,D-03953,D-03953,HME Demo - Miscellaneous,Surrey
2023,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539,D-03966,HME Demo - Miscellaneous,Surrey
2023,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-1,D-03969,HME Demo - Miscellaneous,Surrey
2023,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-2,D-03970,HME Demo - Miscellaneous,Surrey
2023,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-3,D-03971,HME Demo - Miscellaneous,Surrey
2023,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-4,D-03972,HME Demo - Miscellaneous,Surrey
2023,Modular Access System,ThruFlow decking 36x12 - Ergo Beige,539-5,D-03973,HME Demo - Miscellaneous,Surrey
2021,Ki Mobility,ROGUE XPE,RGXP007908,D-02158,HME Demo - Pediatric Equipment,Surrey
1900,Sunrise,Quickie 2 13x12,Q2X-042723,D-02008,HME Demo - Pediatric Equipment,Surrey
1900,Ki,Clik 10x10,CLK003435,D-02013,HME Demo - Pediatric Equipment,Surrey
1900,Ki,Tsunami 12x10,TSTR003609,D-02014,HME Demo - Pediatric Equipment,Surrey
1900,Rifton,Pacer Small,K50120180620AA,D-02029,HME Demo - Pediatric Equipment,Surrey
1900,Meerkat,Size 3,870023,D-02033,HME Demo - Pediatric Equipment,Surrey
1900,Easystand,Bantam,V2017328004,D-02043,HME Demo - Pediatric Equipment,Surrey
1900,Dynamico,Size 5,087710-002,D-02052,HME Demo - Pediatric Equipment,Surrey
1900,Leckey,MyWay Size 2,LEC/250214,D-02054,HME Demo - Pediatric Equipment,Surrey
1900,Leckey,Myway Size 1,LEC/228811,D-02055,HME Demo - Pediatric Equipment,Surrey
1900,R82,Mustang Size 1,418128,D-02060,HME Demo - Pediatric Equipment,Surrey
1900,Buddy Roamer,Size 1,BR-S12-766,D-02062,HME Demo - Pediatric Equipment,Surrey
1900,CanDan,Miniwalk,150131,D-02067,HME Demo - Pediatric Equipment,Surrey
1900,Convaid,Pony Size 2,ART no.86412,D-02069,HME Demo - Pediatric Equipment,Surrey
1900,R82,Manatee Size 1,5055861,D-02071,HME Demo - Pediatric Equipment,Surrey
1900,R82,Flamingo Size 2,252364,D-02091,HME Demo - Pediatric Equipment,Surrey
1900,Firefly,Splashy Size 1,D-02058,D-02058,HME Demo - Pediatric Equipment,Surrey
1900,Stealth,SPP x12,D-02102,D-02102,HME Demo - Pediatric Equipment,Surrey
1900,NXT,Biofit 12x12,D-02106,D-02106,HME Demo - Pediatric Equipment,Surrey
1900,Jay,Zip x10,D-02107,D-02107,HME Demo - Pediatric Equipment,Surrey
1900,Prism,supreme 12x12,D-02108,D-02108,HME Demo - Pediatric Equipment,Surrey
1900,,Axiom 14x14,D-02111,D-02111,HME Demo - Pediatric Equipment,Surrey
1900,,"Matrx, 12x12",D-02113,D-02113,HME Demo - Pediatric Equipment,Surrey
1900,,Synergy 15x15,D-02117,D-02117,HME Demo - Pediatric Equipment,Surrey
1900,,foam x10,D-02118,D-02118,HME Demo - Pediatric Equipment,Surrey
1900,,Nighthawk 12x12,D-02120,D-02120,HME Demo - Pediatric Equipment,Surrey
1900,,foam 12x12,D-02121,D-02121,HME Demo - Pediatric Equipment,Surrey
1900,Resolve,14x14,D-02123,D-02123,HME Demo - Pediatric Equipment,Surrey
1900,,foam 14x12,D-02124,D-02124,HME Demo - Pediatric Equipment,Surrey
1900,,Nimbo small,D-02126,D-02126,HME Demo - Pediatric Equipment,Surrey
2022,Permobil,R851 Medium Activity Chair,R85020220310AA,D-03616,HME Demo - Pediatric Equipment,Surrey
2021,Rifton,Activity Chair 840,R84020200903AE,D-00261,HME Demo - Pediatric Equipment,Surrey
1900,Trivel,T250 Tricycle,TRI202103031,D-02198,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Special Tomato E10,896688001138,D-02135,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Clik,CLK006879,HME-02159,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Flip,FLP006537,HME-02160,HME Demo - Pediatric Equipment,Surrey
2021,Convaid,EZ Rider 18,EZ18T-02217,d-04008,HME Demo - Pediatric Equipment,Surrey
2021,R82,High Low Base w/ Seat,D-03037,D-03037,HME Demo - Pediatric Equipment,Surrey
2021,AXIOM,CS Cushion,D-02173,D-02173,HME Demo - Pediatric Equipment,Surrey
2021,AXIOM,CS Cushion 10x10,D-02174,D-02174,HME Demo - Pediatric Equipment,Surrey
2021,Ki Mobility,Flip,FLP5248,D-03243,HME Demo - Pediatric Equipment,Surrey
2021,Sunrise,PAL Classroom seat GREEN size 3,LEC234169,D-03252,HME Demo - Pediatric Equipment,Surrey
2021,Firefly,Scoot 4-in-1,LEC/304827,D-02254,HME Demo - Pediatric Equipment,Surrey
2021,Permobil,Arm Support ( Pair ) For Rift,D-02253,,HME Demo - Pediatric Equipment,Surrey
2021,Performance Health,Potty Seat,D-02267,D-02267,HME Demo - Pediatric Equipment,Surrey
2022,Sunrise,Quickie QX,QX-034850,D-03864,HME Demo - Pediatric Equipment,Surrey
2022, Drive,Wrap-Around Toilet HI-Back,2019095VE060022,D-03584,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Resolve Physipro 12x12,D-03645,D-03645,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02085,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02264,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02263,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02265,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02070,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02077,,HME Demo - Pediatric Equipment,Surrey
1900,Rifton,HTS,HME-03009,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02090,,HME Demo - Pediatric Equipment,Surrey
1900,,,BC8779,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-03380,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02083,,HME Demo - Pediatric Equipment,Surrey
1900,Permbol,Rifton Pacer Mini,HME-00404,HME-00404,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02032,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02089,,HME Demo - Pediatric Equipment,Surrey
1900,Leckey,Squiggles Plus,LEC/224187,HME-01091,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02042,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02016,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02015,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02012,,HME Demo - Pediatric Equipment,Surrey
1900,,,BC1081,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02007,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02018,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02134,,HME Demo - Pediatric Equipment,Surrey
2022,Rifton,Rifton pacer - Small,K62020190607AC,D-03614,HME Demo - Pediatric Equipment,Surrey
2022,Lighthouse,KLIP 4-Wheel Posterior Gati trainer With Seat - me,530202107030,D-03615,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02046,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-03594,,HME Demo - Pediatric Equipment,Surrey
1900,,,BC9973,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-03598,,HME Demo - Pediatric Equipment,Surrey
1900,,,D02112,,HME Demo - Pediatric Equipment,Surrey
2022,Sunrise,ZIPPIE X'CAPE WHEEL CHAIR,FZ1-011758,D-03628,HME Demo - Pediatric Equipment,Surrey
2022,Synetik,VERTIFLEX A2,200083502,D-03618,HME Demo - Pediatric Equipment,Surrey
2022,Adaptive Star,Axiom adaptive Star Stroller,D-03619,D-03619,HME Demo - Pediatric Equipment,Surrey
2022,Permobil,Kidwalk - Green ( Small ),55740,D-03632,HME Demo - Pediatric Equipment,Surrey
2022,Permobil,Kidwalk II - Candy Blue - Large,55742,D-03634,HME Demo - Pediatric Equipment,Surrey
2022,Convaid,EZ Rider EZ 18,2600000002001,,HME Demo - Pediatric Equipment,Surrey
2022,Solu Medical,SM1070 - Two Cylinders attachable by zipper body s,SM1070,D-03639,HME Demo - Pediatric Equipment,Surrey
2022,R82 Inc,Crocodile Gait trainer size 3,5100310,D-03649,HME Demo - Pediatric Equipment,Surrey
2022,R82,Crocodile Gait Trainer Size 3,5099155,D-03650,HME Demo - Pediatric Equipment,Surrey
2022,Lekey,SleepForm,D-03682,D-03682,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Bed positioning,D-03699,D-03699,HME Demo - Pediatric Equipment,Surrey
2022,Sunrise,Zippie Voyage VIP,ZV18-004248,D-03709,HME Demo - Pediatric Equipment,Surrey
2022,Special Tomato,Special Tomato Soft Sitter - Size 1,D-03713,D-03713,HME Demo - Pediatric Equipment,Surrey
2022,Permobil,Rifton wave tub stand,Z21720220804AA,D-03715,HME Demo - Pediatric Equipment,Surrey
2022,HME DEMO,PED Equipment,18261500rw1603528,D-03439,HME Demo - Pediatric Equipment,Surrey
2022,R82 INC.,Meerkat - Size 1,475430,D-03722,HME Demo - Pediatric Equipment,Surrey
2022,Sunrise,Mygo Stander Package Size1 - Blue,LEC-320745,D-03879,HME Demo - Pediatric Equipment,Surrey
1900,,,D-02039,,HME Demo - Pediatric Equipment,Surrey
1900,,,D-03586,D-03586,HME Demo - Pediatric Equipment,Surrey
2022,Ki Mobility,Hip-Flex Seat Cushion - AQAUA,ST-72060304,D-03845,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Bumblebee Cushion - 12x12,D-03850,D-03850,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Bumblebee Cushion - 12x12,D-03852,D-03852,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Bumblebee Cushion - 12x12,D-03853,D-03853,HME Demo - Pediatric Equipment,Surrey
2022,Physipro,Bumblebee Cushion - 12x14,D-03856,D-03856,HME Demo - Pediatric Equipment,Surrey
2022,Convaid,TR14 Trekker Base Standard,2600017604001,D-03860,HME Demo - Pediatric Equipment,Surrey
2022,Blake,Zentury Foam Cushion - 14 x 1 4,D-03861,D-03861,HME Demo - Pediatric Equipment,Surrey
2022,Drive,BCWL-7310M - Wrap Around Bath Cupport Lo-Back - Me,2022105VC460338,D-03869,HME Demo - Pediatric Equipment,Surrey
2023,R82 INC,Crocodile gait trainer size0 - White,5103556,D-03905,HME Demo - Pediatric Equipment,Surrey
2023,R82,Crocodile Base - Size 0,5103703,D-03917,HME Demo - Pediatric Equipment,Surrey
2023,Inspired,CSS-2400M-RR-Car Seat - Neon Green,2023025VB290176,D-03918,HME Demo - Pediatric Equipment,Surrey
2023,R82,Crocodile Base Size 1 - Yellow,5113033,D-03951,HME Demo - Pediatric Equipment,Surrey
2023,Sunrise,Zippie Sphynx,ZS22-013686,D-03958,HME Demo - Pediatric Equipment,Surrey
2023,HOGGI,Bingo Evolution,202297553,D-04043,HME Demo - Pediatric Equipment,Surrey
2023,Motion Concepts,AVIVA STORM RX-20,23GE000202,D-04051,HME Demo - Pediatric Equipment,Surrey
2023,Motion Concepts,ROVI A3 Power Chair,1WN30D41A0093,D-04052,HME Demo - Pediatric Equipment,Surrey
2023,Invacare,PS-MINI1414 - Matrx PS Cushion,D-04053,D-04053,HME Demo - Pediatric Equipment,Surrey
2023,Invacare,MINI1410 - Matrx Mini Backrest,D-04054,D-04054,HME Demo - Pediatric Equipment,Surrey
2023,Invacare,"HME DEMO - eFix E35 24 , 6AH",E35225077,D-04059,HME Demo - Pediatric Equipment,Surrey
2023,Drive,TZ-A4960S - Padded Reducer Ring - Small,D-44061,D-44061,HME Demo - Pediatric Equipment,Surrey
2023,Motion Concepts,TDX-SP2 Base Power Chair,23HE000495,D-04062,HME Demo - Pediatric Equipment,Surrey
1900,Quantum,Q4,MEC2002454,D-00003,HME Demo - Power Wheelchairs,Surrey
1900,Quantum,Edge 3 Stretto,JF330320054CMO,D-00004,HME Demo - Power Wheelchairs,Surrey
1900,,,17057C164040,D-03433,HME Demo - Power Wheelchairs,Surrey
2022,Motion Concepts,TDX SP,17355C008714,D-03435,HME Demo - Power Wheelchairs,Surrey
2022,Pride mobility,Q6 Edge power Wheelchair,JB601116031CN0,D-03726,HME Demo - Power Wheelchairs,Surrey
2023,Sunrise Medical,"Q300 M SPC Zippie Powerchair,14x14,Candy Red",Q3MZ-500019,D-03913,HME Demo - Power Wheelchairs,Surrey
1900,Broda,Elite,1724197851805580,D-00026,HME Demo - Tilt Wheelchairs,Surrey
2021,Fuze,T50,D-02199,D-02199,HME Demo - Tilt Wheelchairs,Surrey
2021,Fuze,T20,56387,D-02200,HME Demo - Tilt Wheelchairs,Surrey
2021,Quickie,SR45 16x18,QSR-028398,D-02202,HME Demo - Tilt Wheelchairs,Surrey
2021,Quickie,SR45 18x18,D-02204,D-02204,HME Demo - Tilt Wheelchairs,Surrey
2021,Ki Mobility,Liberty FT Tilt WC,LFT0027912,D-02268,HME Demo - Tilt Wheelchairs,Surrey
2022,Motion Concepts,TDX SP,P0917152778,D-03438,HME Demo - Tilt Wheelchairs,Surrey
2021,Broda,"Broda Tilt wheelchair,16x18",172619500RW1603247,D-04014,HME Demo - Tilt Wheelchairs,Surrey
2021,Broda,"Broda Tilt wheelchair,16x18",QIX 02958,D-03442,HME Demo - Tilt Wheelchairs,Surrey
2021,Malton Best,Orion II 20x19,D-03525,D-03525,HME Demo - Tilt Wheelchairs,Surrey
2021,PDG,Fuze T50 16x18,D-03526,D-03526,HME Demo - Tilt Wheelchairs,Surrey
2021,Sunrise,Quickie SR45 16x18,D-03527,D-03527,HME Demo - Tilt Wheelchairs,Surrey
2022,PDG,Fuze T50 18 x 18 Manual Tilt wheelchair,116678,?,HME Demo - Tilt Wheelchairs,Surrey
2023,PDG,Stellar GLT Manual Tilt Wheelchair,125446,D-03965,HME Demo - Tilt Wheelchairs,Surrey
2023,PDG Mobility,Fuze T50 Manual Tilt Wheelchair,126673,?,HME Demo - Tilt Wheelchairs,Surrey
2021,Special Tomato,Out & About Seat,CON-115,CON-115,Out and About Seat,Surrey
2021,Trivel,T350,TRI00201901802,,T350 Trivel Tricycle,Surrey
